time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010445850000	14.8474	3.2007	5.13449	0.508785	0.246494	radar	3.81696	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0492	3.39295	5.1508	0.558574	0.299396	lidar	0.954443	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2578	3.56406	5.15534	0.596297	0.338961	radar	2.32009	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4681	3.74636	5.17484	0.630632	0.362512	lidar	0.573086	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6819	3.87882	5.16884	0.635757	0.342687	radar	1.0291	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9054	4.01535	5.17202	0.63969	0.323739	lidar	0.307662	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.0994	4.1879	5.16069	0.677194	0.371528	radar	1.68463	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.2958	4.37844	5.17631	0.708514	0.388347	lidar	0.329372	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5067	4.53841	5.18538	0.715696	0.365668	radar	0.736449	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.687	4.70717	5.17314	0.736896	0.37073	lidar	0.410778	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8336	4.9244	5.14883	0.809579	0.48691	radar	4.36658	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	16.9973	5.14328	5.1631	0.849717	0.507724	lidar	0.297205	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1659	5.32484	5.15045	0.873501	0.513522	radar	1.82177	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3291	5.50236	5.13412	0.891039	0.504015	lidar	0.332139	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.4824	5.68814	5.11405	0.919512	0.522159	radar	3.43059	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6853	5.80764	5.07648	0.898656	0.462378	lidar	2.85234	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8209	6.02286	5.06876	0.946724	0.518899	radar	1.04424	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0012	6.20056	5.06477	0.950257	0.488858	lidar	0.973689	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1466	6.41543	5.07206	0.976193	0.489457	radar	0.525949	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2697	6.64153	5.07586	1.01114	0.503249	lidar	0.194398	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.3972	6.8637	5.07751	1.0423	0.515898	radar	0.137651	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5528	7.0033	5.01967	1.03361	0.475191	lidar	3.49342	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7016	7.21119	5.02799	1.03591	0.42827	radar	0.625388	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9086	7.34427	4.9894	1.00313	0.359526	lidar	5.07024	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9864	7.56893	4.96464	1.06432	0.451637	radar	4.46482	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
